Product Name,Price,Seller,Location,Amount Sold,Rating
Kerupuk Kampung / Kerupuk Kampoeng / Kerupuk Bawang,18000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,750,4.9
Keripik Ubi Ungu Sari Roso,26000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,250,5.0
Sabring kerupuk seblak jablay pedas Jumbo,15000,RIKI STORE 97,Kab. Bogor,20,4.8
Kerupuk indosari gado gado dan seblak,25900,Agen bawang goreng mas YO,Kab. Bogor,100,4.9
kerupuk bawang pedas seblak plastik 250gr,27500,DRSukses,Jakarta Selatan,17,5.0
Kerupuk Bawang Seblak Bintang Mentah / Kerupuk Tersanjung 100 gram,4500,DelimaFCB,Surabaya,19,5.0
aneka kerupuk mix untuk bahan seblak 100 gr,3499,aghniya,Tangerang Selatan,100,4.9
KERUPUK SEBLAK 250gr / KRUPUK SEBLAK DAUN JERUK / SEBLAK PEDAS,12500,Dapur Sehat21,Kab. Bandung,100,4.9
seblak jengkol pedas / okesnack,16000,oke snack,Jakarta Selatan,100,4.9
Seblak Instan khas bandung,3500,Gallery Al-aziz,Kab. Bandung,7,5.0
Kerupuk seblak Mawar / Seblak Rafael / Seblak viral 500 gr,18500,Bintang Snack & Camilan,Semarang,16,5.0
Kerupuk Seblak Pedas 160gr Jajanan Cemilan Murah Kekinian,10000,Warung Pak Hakim,Depok,1,5.0
"Seblak kuah instan , Seblak khas garut a",6000,iwan resistans leather,Kab. Garut,19,4.5
Bumbu Basah Seblak 5 Porsi Koki Jempol,4250,Happy Family Cooking,Kab. Bogor,11,5.0
BUBUK CABAI/CABE BASO ACI/BOCI/SEBLAK/CUANKI ECERAN,699,ArfaOnlineShop,Tangerang,250,5.0
Paket 7 Pcs Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,120000,Central Seblak Nusantara,Tangerang Selatan,17,4.9
Seblak Cocol Seblak Coet Seblak Viral Seblak Bumbu Basah Seblak rafael,6000,FAG COLLECTION,Surabaya,10,5.0
Kerupuk bawang orange 250gr / Krupuk seblak mentah bawang oren 250 gr,7500,PanganIndah,Tangerang,8,5.0
Cuanki Instan Bandung kuah pedas bulefood,14999,GEMLOV OFFICIAL,Cimahi,4,5.0
Baso Aci Instan Culametan khas Garut (isi 12),5999,CUANKI CULAMETAN,Kab. Garut,2000,4.9
Baso Aci Terciduk Pedas Jeruk,15300,Foodstocks,Jakarta Selatan,100,5.0
Baso Aci Instan Culametan khas Garut ( isi 6 ),4500,CUANKI CULAMETAN,Kab. Garut,3000,4.8
Gurilem Sangarrr,13000,The Little Snacks,Tangerang Selatan,2000,4.7
Kerupuk mawar putih mentah 500gram / kerupuk ikan mentah /seblak viral,13000,Semesta kerupuk,Tangerang Selatan,100,5.0
NAAGIH! PAKET MIX 12 pack : 4 Seblak 4 Cuanki 4 Boci Instant RESELLER!,44500,Ebay Store,Kab. Tangerang,5,5.0
Seblak Bantat Boboko Pedas Daun Jeruk Level 20 Khas Bandung 125g,17700,Gerai Snack Official Shop,Kab. Tangerang,40,4.9
Gelichips Seblak Kering Sebring Camilan Kerupuk Pedas Daun Jeruk 65 gr,15000,Lidigeli,Kab. Garut,70,4.7
KERUPUK MAWAR PUTIH MENTAH ISI 1KG / KERUPUK VIRAL SEBLAK COBEK,26000,Raabihah_kerupukgrosir,Bandung,40,4.9
siomay mini kering 250 gram toping seblak baso aci,7999,CUANKI CULAMETAN,Kab. Garut,250,4.9
Kerupuk Seblak Kencur Gurih Asin Pedas 10 pcs/pak,7000,SerbaAda_6699,Bandung,40,5.0
Seblak Rempah Autentik Kyla Food Khas Bandung 115 g,12700,Gerai Snack Official Shop,Kab. Tangerang,28,5.0
Kerupuk seblak jengkol pedas berat 250 gram enak renyah pedas,14550,keripikususkrisis,Kab. Gresik,30,4.9
BUNDLING SEBLAK OIFYOO (isi 5 packs),25380,oifyoo_mozzarella,Bandung,16,4.8
KRUPUK SEBLAK PEDAS DAUN JERUK,8000,Ri_store.id,Makassar,27,4.2
